AID,sex,intoxication,intercourse_dummy,intox_most_recent_sex
90577260,2,never,0,never
90577267,2,never,1,sober
90577322,2,occasionally,0,never
90577326,2,occasionally,0,never
90577327,1,never,0,never
90577411,1,never,0,never
90577516,2,never,0,never
90577618,2,never,0,never
90577712,2,never,1,sober
90577782,2,never,0,never
90577817,2,never,0,never
90577851,1,occasionally,1,sober
90577852,1,occasionally,1,sober
90577917,1,never,0,never
90577920,1,never,0,never
90577924,2,never,0,never
90577928,1,occasionally,0,never
90577929,2,never,0,never
90577964,1,never,0,never
90578004,2,frequently,1,sober
90578006,2,never,1,sober
90578025,1,occasionally,0,never
90578044,1,occasionally,1,sober
90578076,2,never,0,never
90578105,2,never,0,never
90578112,2,never,1,sober
90578113,1,never,1,sober
90578198,2,never,1,sober
90578203,2,never,1,sober
90578217,2,occasionally,1,sober
90578260,1,never,1,never
90578288,2,never,0,never
90578302,2,never,1,sober
90578304,1,never,1,sober
90578310,1,never,1,never
90578363,2,never,0,never
90578380,2,never,0,never
90578403,2,never,1,never
90578404,2,never,1,sober
90578413,2,never,1,never
90578461,1,occasionally,0,never
90578487,2,frequently,1,sober
90578496,2,occasionally,0,never
90578500,1,never,1,never
90578505,1,never,1,never
90578576,1,never,0,never
90578587,2,never,1,never
90578618,2,never,0,never
90578620,2,never,0,never
90578661,2,never,0,never
90578787,2,never,1,never
90578805,1,never,1,never
90578806,2,never,1,sober
90578813,2,never,0,never
90578846,2,occasionally,1,sober
90578873,2,frequently,1,sober
90578880,2,never,0,never
90578901,2,never,1,never
90578912,1,never,1,never
90578923,2,never,0,never
90578927,2,never,1,sober
90578981,2,occasionally,1,sober
90578985,2,never,1,sober
90578986,1,never,1,sober
90578988,1,occasionally,1,sober
90578999,2,never,0,never
90579230,1,frequently,1,intoxicated
90579233,2,never,NA,never
90579270,1,occasionally,1,sober
90579271,2,never,0,never
90579272,2,never,0,never
90579296,2,never,0,never
90579944,2,never,1,sober
90579957,1,never,0,never
90579959,2,never,1,never
90579960,2,frequently,1,intoxicated
90579965,1,never,0,never
90579966,1,never,1,sober
90579967,1,never,0,never
90579973,1,never,1,never
90579978,1,never,0,never
90579985,1,never,0,never
90579990,1,frequently,1,sober
90579992,2,never,0,never
90579993,1,frequently,1,intoxicated
90579997,1,occasionally,1,sober
90579999,2,occasionally,1,sober
90593900,1,never,0,never
90606125,2,never,1,sober
90606629,1,frequently,1,sober
90606920,2,never,0,never
90606925,2,never,1,sober
90608879,2,never,0,never
90608976,1,never,0,never
90614172,1,occasionally,0,never
90614370,1,never,0,never
90614371,1,never,1,never
90614876,2,frequently,1,sober
90614978,2,never,1,sober
90619168,1,occasionally,1,sober
90619260,2,occasionally,0,never
90619265,1,never,0,never
90619360,2,never,1,sober
90619464,1,never,0,never
90619861,1,occasionally,1,sober
90619961,2,never,0,never
90636252,1,occasionally,0,never
90646128,2,never,1,sober
90676028,1,never,0,never
90676053,2,never,0,never
90676157,2,never,1,sober
90676321,2,occasionally,1,sober
90676422,1,occasionally,1,intoxicated
90676458,1,never,0,never
90676554,2,occasionally,0,never
90676627,2,never,1,never
90676725,1,never,1,never
90676829,1,never,0,never
90676953,1,never,0,never
90678178,1,occasionally,1,sober
90678378,2,occasionally,1,sober
90678671,1,never,1,sober
90678978,1,never,0,never
90710051,2,never,0,never
90710085,1,never,1,never
90710184,2,never,1,sober
90710194,2,never,0,never
90710218,1,never,0,never
90710297,1,never,0,never
90710316,1,never,0,never
90710319,2,never,0,never
90710386,2,never,0,never
90710483,1,never,0,never
90710830,1,never,0,never
90710853,1,never,0,never
90710874,1,occasionally,1,sober
90710930,2,never,0,never
90710935,1,never,0,never
90710974,2,never,0,never
90710993,1,never,0,never
90711360,1,never,0,never
90712046,1,never,1,sober
90712140,2,never,0,never
90712211,2,never,0,never
90712216,2,never,0,never
90712290,1,never,0,never
90712348,2,never,1,never
90712914,2,never,1,never
90712942,2,never,0,never
90712997,1,never,0,never
90713030,1,never,1,sober
90713391,2,never,0,never
90713395,2,never,0,never
90713507,1,never,NA,never
90713702,1,never,0,never
90713909,2,never,0,never
90713930,1,never,0,never
90713998,2,never,0,never
90714016,1,never,1,never
90714018,2,frequently,1,intoxicated
90714022,2,never,1,sober
90714025,2,never,0,never
90714081,1,never,0,never
90714098,1,never,1,sober
90714212,2,never,1,never
90714232,2,occasionally,0,never
90714233,1,never,0,never
90714236,1,never,0,never
90714237,2,occasionally,1,sober
90714238,1,never,0,never
90714245,2,never,0,never
90714311,1,never,0,never
90714328,1,never,0,never
90714390,1,never,0,never
90714918,2,never,0,never
90714942,1,never,1,sober
90715191,1,never,0,never
90715198,2,never,0,never
90715266,1,never,0,never
90715267,1,never,0,never
90715294,1,never,0,never
90715353,2,never,0,never
90715966,1,never,0,never
90715983,1,never,0,never
90715987,2,never,0,never
90715988,2,never,0,never
90715993,1,never,0,never
90716050,1,never,0,never
90716064,2,occasionally,0,never
90716091,1,never,1,sober
90716095,1,never,1,sober
90716151,1,occasionally,0,never
90716154,2,never,0,never
90716258,1,never,0,never
90716260,1,occasionally,1,sober
90716290,2,never,0,never
90716332,1,never,0,never
90716352,2,occasionally,0,never
90716390,1,never,0,never
90716951,2,never,0,never
90716952,1,never,0,never
90716969,1,never,0,never
90716973,2,never,0,never
90716975,1,never,0,never
90716976,1,never,0,never
90716978,2,never,0,never
90716979,1,never,0,never
90716990,2,occasionally,1,sober
90716994,1,never,0,never
90717150,1,never,0,never
90717158,1,never,0,never
90717167,2,never,1,sober
90717362,1,never,0,never
90718010,1,never,1,never
90718024,2,never,0,never
90718081,2,never,0,never
90718089,1,never,0,never
90718101,1,never,1,never
90718112,1,never,1,never
90718113,2,never,0,never
90718115,2,never,0,never
90718147,2,never,1,sober
90718178,1,never,0,never
90718183,2,never,0,never
90718207,2,never,0,never
90718222,1,never,0,never
90718225,1,never,0,never
90718268,2,never,0,never
90718273,2,never,0,never
90718280,1,never,NA,never
90718285,1,never,0,never
90718287,1,occasionally,1,sober
90718303,1,never,1,never
90718305,2,never,0,never
90718306,2,never,0,never
90718311,1,never,1,never
90718394,2,never,0,never
90718398,1,never,0,never
90718822,1,never,0,never
90718921,1,never,0,never
90718940,1,occasionally,0,never
90718979,1,never,1,never
90718981,2,never,0,never
90718989,2,occasionally,1,intoxicated
90719275,2,never,0,never
90719278,1,never,0,never
90719930,2,never,0,never
90719934,1,never,1,never
90719937,1,never,0,never
90719938,1,frequently,1,sober
90719939,2,never,0,never
90719972,2,never,0,never
91316152,2,never,0,never
91316359,1,never,0,never
91374970,2,never,0,never
91374975,1,never,0,never
91374976,2,never,0,never
91374977,1,never,0,never
91500014,2,never,1,sober
91500119,2,never,0,never
91500185,1,occasionally,1,sober
91500186,2,never,0,never
91500226,2,never,1,never
91500238,2,occasionally,1,sober
91500239,1,never,1,sober
91500312,1,never,1,sober
91500373,1,never,0,never
91500411,2,never,0,never
91500833,2,occasionally,1,sober
91500870,1,never,1,never
91500977,2,never,0,never
91500984,2,never,0,never
91501350,1,occasionally,1,sober
91503239,2,occasionally,0,never
91504088,1,never,1,sober
91504104,2,occasionally,1,intoxicated
91504224,1,never,0,never
91504248,2,occasionally,1,sober
91504291,1,never,1,sober
91504341,2,occasionally,0,never
91504485,2,never,0,never
91504487,1,occasionally,0,never
91504629,1,never,0,never
91504646,2,never,1,never
91504686,2,occasionally,1,sober
91504702,2,never,0,never
91504703,2,never,1,sober
91504729,2,frequently,0,never
91504929,1,never,0,never
91506059,1,never,0,never
91506122,1,never,0,never
91506123,1,never,0,never
91506146,2,never,0,never
91506147,2,frequently,1,intoxicated
91506235,2,occasionally,1,sober
91506304,2,never,0,never
91506305,1,never,1,never
91506330,2,never,0,never
91506392,2,occasionally,1,sober
91506396,1,never,0,never
91506443,1,never,0,never
91506487,2,never,1,never
91506590,2,never,1,sober
